order_id,shopify_order_number,order_date,fulfillment_status,payment_method,currency,customer_id,customer_name,customer_email,customer_phone,customer_country,shipping_address_line1,shipping_city,shipping_state,shipping_zip,shipping_country,product_id,product_title,product_category,sku,variant,quantity,unit_price,subtotal,discount,tax,shipping_cost,total
SHP-63492-7018,#63492,2025-06-12T02:24:22Z,unfulfilled,credit_card,USD,CUST-000573,Lisa Hernandez,stephen96@example.org,001-940-697-0527,Algeria,128 Patterson Prairie Apt. 122,Port Leah,KS,82633,Algeria,PROD-00009,Classic Backpack,Books,SKU-00009-489,Large,2,112.55,225.1,0,33.77,0,258.87
SHP-63493-1349,#63493,2025-05-16T21:34:13Z,fulfilled,apple_pay,USD,CUST-000816,Timothy Holloway,jasoncook@example.net,001-684-986-8999x3607,Aruba,61197 Megan Valleys Suite 657,Crystalview,Mississippi,92260,Aruba,PROD-00071,Classic Blender,Pets,SKU-00071-370,Large,1,65.47,65.47,0,3.27,3.99,72.73
SHP-63494-4538,#63494,2024-12-06T05:43:31Z,partially_fulfilled,apple_pay,USD,CUST-000499,Ronald Williams,adamsjuan@example.com,001-963-650-2000x534,United States of America,544 Daniel Court Suite 136,Lopeztown,Georgia,08095,United States of America,PROD-00033,Wireless Running Shoes,Home & Kitchen,SKU-00033-652,Standard,2,106.58,213.16,0,21.32,14.99,249.47
SHP-63495-5106,#63495,2024-12-03T01:34:41Z,partially_fulfilled,credit_card,USD,CUST-000303,Brittany Ford,shortgregory@example.com,591-496-5701,Tuvalu,937 Palmer Tunnel,New Kimberlyview,Colorado,34602,Tuvalu,PROD-00202,Smart Blender,Toys,SKU-00202-984,Large,4,6.4,25.6,0,1.79,14.99,42.38
SHP-63496-3854,#63496,2025-02-05T06:40:30Z,unfulfilled,credit_card,USD,CUST-001354,Andrew Hall,claytonchavez@example.net,(333)872-0945,Libyan Arab Jamahiriya,01483 John Grove,North Danielmouth,ND,27640,Libyan Arab Jamahiriya,PROD-00222,Comfort Face Cream,Grocery,SKU-00222-609,Small,1,12.36,12.36,0,1.85,0,14.21
SHP-63497-2786,#63497,2025-08-17T12:21:46Z,pending,bank_transfer,USD,CUST-000260,Nicholas Ramsey,rachel77@example.net,487-339-2855x7498,Marshall Islands,08764 Velez Cape,South Dorisfort,Connecticut,71733,Marshall Islands,PROD-00190,Premium Desk Lamp,Jewelry,SKU-00190-190,Blue,1,61.26,61.26,0,9.19,14.99,85.44
SHP-63498-1510,#63498,2024-12-14T10:32:48Z,fulfilled,google_pay,USD,CUST-000454,Jesse Rodriguez,glenn65@example.org,(937)331-4950x1364,Rwanda,2950 Fisher Orchard Apt. 621,Thomasport,Oklahoma,06966,Rwanda,PROD-00243,Wireless Coffee Maker,Pets,SKU-00243-791,XL,2,364.99,729.98,0,87.6,9.99,827.57
SHP-63499-3430,#63499,2025-05-16T13:39:00Z,fulfilled,paypal,USD,CUST-000823,Paul Sherman,aguirrekimberly@example.com,923.897.9137,Gibraltar,693 Jeremy Views,South Megan,Montana,34147,Gibraltar,PROD-00110,Smart Running Shoes,Toys,SKU-00110-923,White,2,247.68,495.36,74.3,21.05,5.99,448.1
SHP-63500-9282,#63500,2025-05-01T05:37:17Z,pending,credit_card,USD,CUST-000564,Tommy Brown,alexis03@example.com,001-210-674-0650,Burundi,1991 Johnson Stravenue Apt. 906,Laurashire,OK,94783,Burundi,PROD-00160,Smart Vacuum,Apparel,SKU-00160-332,Blue,2,276.44,552.88,0,66.35,9.99,629.22
SHP-63501-8398,#63501,2025-06-04T20:55:04Z,partially_fulfilled,google_pay,USD,CUST-001438,Curtis Krueger,ngraham@example.com,001-408-765-4243x8269,Guam,034 Matthew Shore Apt. 970,New Chadstad,ID,52550,Guam,PROD-00030,Portable Sunglasses,Apparel,SKU-00030-261,White,3,327.2,981.6,0,98.16,9.99,1089.75
SHP-63502-7132,#63502,2025-09-16T11:08:12Z,partially_fulfilled,cash_on_delivery,USD,CUST-000695,Margaret Freeman,qobrien@example.com,7918919113,Suriname,670 Ramirez Crest,Sandraland,SC,52664,Suriname,PROD-00212,Comfort Blender,Toys,SKU-00212-176,White,1,210.91,210.91,0,31.64,5.99,248.54
SHP-63503-1982,#63503,2025-06-11T19:05:53Z,unfulfilled,cash_on_delivery,USD,CUST-000972,Julie Freeman,yguzman@example.org,488-824-1996,Ethiopia,60221 Duncan Throughway Apt. 887,Laurahaven,FL,79600,Ethiopia,PROD-00018,Pro Board Game,Home & Kitchen,SKU-00018-376,XL,1,47.26,47.26,7.09,6.03,3.99,50.19
SHP-63504-6119,#63504,2024-12-12T11:49:36Z,unfulfilled,credit_card,USD,CUST-000251,Michael Fernandez,ramosmichael@example.com,(240)908-2547,Yemen,384 Faith Road Apt. 065,Allenmouth,NJ,41329,Yemen,PROD-00106,Premium T-Shirt,Home & Kitchen,SKU-00106-350,White,1,334.34,334.34,0,0,5.99,340.33
SHP-63505-7022,#63505,2025-01-20T05:50:56Z,fulfilled,apple_pay,USD,CUST-001184,Sandra Miller,brookefrench@example.net,001-266-727-0266x045,Jersey,9351 Nancy Street Apt. 401,New John,OK,43809,Jersey,PROD-00130,Pro Water Bottle,Beauty,SKU-00130-445,Black,1,330.08,330.08,0,49.51,14.99,394.58
SHP-63506-5381,#63506,2025-01-31T00:53:40Z,fulfilled,paypal,USD,CUST-001176,Jacqueline Garcia,jesse62@example.com,875-328-6461x209,Kiribati,903 Morton Wall Suite 177,Port Toddtown,AZ,45773,Kiribati,PROD-00058,Smart T-Shirt,Sports,SKU-00058-693,Standard,3,423.35,1270.05,0,0,14.99,1285.04
SHP-63507-7566,#63507,2025-02-15T18:59:42Z,fulfilled,paypal,USD,CUST-000560,Aaron Marks,brodriguez@example.net,+1-643-988-2211x45775,El Salvador,94124 Smith Course Suite 483,Jasonmouth,Oklahoma,34431,El Salvador,PROD-00180,Essential Vacuum,Health,SKU-00180-816,Black,2,461.16,922.32,92.23,58.11,14.99,903.19
SHP-63508-3578,#63508,2024-10-30T22:23:45Z,unfulfilled,apple_pay,USD,CUST-001297,Crystal Landry,tuckeramy@example.net,210.896.8564x257,Norway,7760 Paul Fork Suite 597,Port Christopher,Wisconsin,31477,Norway,PROD-00249,Comfort Sunglasses,Books,SKU-00249-701,Small,1,374.33,374.33,0,78.61,5.99,458.93
SHP-63509-1815,#63509,2024-10-05T03:05:52Z,fulfilled,apple_pay,USD,CUST-001478,Patricia Richardson,moniquemoore@example.org,001-780-818-3235x306,Mauritania,49675 Kemp Greens,Darrentown,Ohio,37319,Mauritania,PROD-00084,Eco Running Shoes,Beauty,SKU-00084-522,Standard,2,285.96,571.92,0,40.03,3.99,615.94
SHP-63510-8043,#63510,2025-08-12T05:13:37Z,fulfilled,apple_pay,USD,CUST-000908,Craig Simmons,diane91@example.net,738-682-3255x3983,Ethiopia,473 Amber Key,Smithmouth,Hawaii,63893,Ethiopia,PROD-00170,Pro Vacuum,Health,SKU-00170-980,Black,1,305.5,305.5,45.82,12.98,5.99,278.65
SHP-63511-1897,#63511,2024-10-07T15:10:00Z,fulfilled,paypal,USD,CUST-001389,Jordan Ballard,ecox@example.net,+1-640-257-1446x9567,Saint Helena,476 Daniel Center Suite 976,Nicolestad,Utah,97911,Saint Helena,PROD-00174,Premium Sunglasses,Home & Kitchen,SKU-00174-561,White,1,265.83,265.83,26.58,43.06,14.99,297.3
SHP-63512-9149,#63512,2025-01-24T23:54:58Z,pending,paypal,USD,CUST-000618,Katherine Martin,martinsamuel@example.org,8672287286,French Polynesia,2897 Garrett Springs Apt. 485,Sherrytown,OR,01866,French Polynesia,PROD-00243,Wireless Coffee Maker,Pets,SKU-00243-791,XL,1,72.93,72.93,7.29,3.28,0,68.92
SHP-63513-7505,#63513,2025-04-29T01:54:33Z,fulfilled,google_pay,USD,CUST-000265,Danielle Howard,bpark@example.org,(928)768-5289,United Kingdom,685 Smith Mews Suite 992,Joneshaven,MT,72310,United Kingdom,PROD-00098,Portable Sunglasses,Jewelry,SKU-00098-434,Black,1,118.9,118.9,0,17.84,0,136.74
SHP-63514-5743,#63514,2025-03-11T17:14:00Z,fulfilled,google_pay,USD,CUST-000039,Rebekah Evans,ntorres@example.org,+1-213-834-1232x812,Korea,7795 Williams Shoal Apt. 996,South Jeffrey,Pennsylvania,24583,Korea,PROD-00118,Classic Blender,Jewelry,SKU-00118-254,XL,4,431.74,1726.96,0,310.85,9.99,2047.8
SHP-63515-8155,#63515,2025-08-05T19:22:21Z,fulfilled,paypal,USD,CUST-000043,Theodore Ortiz,elizabeth25@example.com,001-874-268-0715x451,Palestinian Territory,10735 David Ranch Suite 220,Fernandezburgh,Illinois,21992,Palestinian Territory,PROD-00248,Mini Blender,Beauty,SKU-00248-497,White,1,401.65,401.65,0,60.25,0,461.9
SHP-63516-6456,#63516,2024-12-12T11:09:16Z,partially_fulfilled,credit_card,USD,CUST-000893,John Lynn,kristine33@example.net,001-715-962-4152,Christmas Island,23993 Ramirez Brooks,Olsentown,Oregon,34394,Christmas Island,PROD-00151,Premium Yoga Mat,Jewelry,SKU-00151-187,XL,1,43.93,43.93,13.18,4.61,3.99,39.35
SHP-63517-2684,#63517,2025-06-04T03:56:53Z,partially_fulfilled,apple_pay,USD,CUST-001046,Brandon Martin,robert52@example.com,001-752-833-2829x30202,Montserrat,9523 Kim Lock,Kimberlyport,DC,66803,Montserrat,PROD-00163,Comfort Gaming Mouse,Home & Kitchen,SKU-00163-205,Standard,1,257.43,257.43,77.23,12.61,3.99,196.8
SHP-63518-8354,#63518,2025-01-22T06:34:38Z,unfulfilled,cash_on_delivery,USD,CUST-000405,Lisa Wong,nicolemiller@example.net,262-288-4318x84852,Tuvalu,006 King Views Suite 487,Johnville,KS,22353,Tuvalu,PROD-00045,Comfort Gaming Mouse,Sports,SKU-00045-319,Small,2,381.31,762.62,190.66,120.11,9.99,702.06
SHP-63519-1920,#63519,2025-01-29T00:25:20Z,unfulfilled,bank_transfer,USD,CUST-000648,Andrew Perry,joshuaford@example.net,713-830-5319x49796,Lebanon,80537 Wolf Hollow Apt. 550,Hawkinschester,Ohio,52521,Lebanon,PROD-00039,Mini Yoga Mat,Beauty,SKU-00039-830,Red,1,237.12,237.12,59.28,21.34,14.99,214.17
SHP-63520-9307,#63520,2024-09-28T20:28:37Z,pending,google_pay,USD,CUST-000152,Debbie Bowers,troyrodriguez@example.com,+1-491-980-5526x9658,Zimbabwe,39221 Pam Orchard,North Christymouth,Nebraska,27875,Zimbabwe,PROD-00080,Ultra Blender,Books,SKU-00080-540,Small,1,23.62,23.62,0,1.18,0,24.8
SHP-63521-8792,#63521,2025-09-01T02:46:57Z,partially_fulfilled,credit_card,USD,CUST-001189,James Garcia,joshua41@example.net,872.277.6857,Jamaica,798 Moore Path,Harrisland,Hawaii,41095,Jamaica,PROD-00142,Wireless Backpack,Pets,SKU-00142-618,Blue,4,370.77,1483.08,0,148.31,5.99,1637.38
SHP-63522-5059,#63522,2025-04-13T22:37:20Z,pending,google_pay,USD,CUST-000923,Megan Bautista,timothy12@example.com,260.810.8018x103,Micronesia,91796 Evans Meadow Apt. 332,South Adammouth,UT,05917,Micronesia,PROD-00027,Classic Board Game,Grocery,SKU-00027-490,White,3,419.5,1258.5,314.62,66.07,0,1009.95
SHP-63523-1857,#63523,2024-11-23T02:36:16Z,unfulfilled,credit_card,USD,CUST-001074,Samuel Montgomery,asmith@example.net,+1-374-574-8599x464,Spain,5120 Erin Street Apt. 175,Michaelview,MO,36601,Spain,PROD-00134,Smart Headphones,Beauty,SKU-00134-736,Small,2,185.13,370.26,0,55.54,14.99,440.79
SHP-63524-2335,#63524,2025-03-31T05:37:33Z,partially_fulfilled,apple_pay,USD,CUST-000676,Alan Morris,jonathanwalker@example.net,001-358-273-9592x32342,Martinique,104 Perry Well,Florestown,MI,22929,Martinique,PROD-00025,Pro Backpack,Jewelry,SKU-00025-873,Standard,1,196.35,196.35,0,13.74,5.99,216.08
SHP-63525-7171,#63525,2025-02-13T22:44:31Z,unfulfilled,paypal,USD,CUST-000636,Nathaniel Morgan,oevans@example.net,466-649-6902,Turks and Caicos Islands,4203 Brown Place Suite 483,North Ashley,North Carolina,65173,Turks and Caicos Islands,PROD-00248,Mini Blender,Beauty,SKU-00248-497,White,2,332.76,665.52,0,33.28,5.99,704.79
SHP-63526-9331,#63526,2024-11-09T14:08:43Z,unfulfilled,credit_card,USD,CUST-001373,William Taylor,ann34@example.com,497-383-3548x83571,Finland,836 Ronald Underpass,Port Jordanmouth,IN,18140,Finland,PROD-00180,Essential Vacuum,Health,SKU-00180-816,Black,3,370.69,1112.07,0,55.6,9.99,1177.66
SHP-63527-3538,#63527,2025-02-12T08:02:29Z,fulfilled,apple_pay,USD,CUST-000743,Kevin Moses,jeremy79@example.net,466.527.0511x5794,Maldives,8581 Smith Lakes,Lake Danielchester,Rhode Island,63859,Maldives,PROD-00080,Ultra Blender,Books,SKU-00080-540,Small,1,111.03,111.03,0,11.1,3.99,126.12
SHP-63528-3147,#63528,2025-05-21T03:29:21Z,pending,paypal,USD,CUST-000208,Diane Obrien,william66@example.net,001-634-765-4722x698,Rwanda,251 Brandon Vista,New Jennifer,Florida,31732,Rwanda,PROD-00130,Pro Water Bottle,Beauty,SKU-00130-445,Black,2,418.38,836.76,167.35,100.41,14.99,784.81
SHP-63529-7731,#63529,2024-12-10T15:29:54Z,unfulfilled,cash_on_delivery,USD,CUST-000333,Monique Wright,lriley@example.org,001-806-900-7806,Sudan,704 Karen Prairie,Williamshire,MA,70693,Sudan,PROD-00047,Smart Coffee Maker,Toys,SKU-00047-199,Black,3,386.69,1160.07,0,243.61,0,1403.68
SHP-63530-9749,#63530,2025-09-05T22:49:03Z,partially_fulfilled,apple_pay,USD,CUST-001474,Nicole Bailey,charlesprice@example.org,(622)990-1138x60479,United Kingdom,1163 Miller Rapid Apt. 075,Turnerville,Idaho,39695,United Kingdom,PROD-00061,Classic Backpack,Home & Kitchen,SKU-00061-791,XL,5,307.24,1536.2,0,322.6,3.99,1862.79
SHP-63531-7256,#63531,2025-04-11T17:13:31Z,pending,paypal,USD,CUST-000961,Olivia Vaughn,torrestricia@example.com,001-527-214-7246,Sudan,96262 Burke Path Apt. 124,Lunabury,Virginia,60936,Sudan,PROD-00232,Portable Blender,Grocery,SKU-00232-743,Large,3,187.08,561.24,0,117.86,5.99,685.09
SHP-63532-2680,#63532,2025-03-13T01:16:58Z,fulfilled,apple_pay,USD,CUST-000409,Victor Henderson,fbarker@example.net,(222)482-7728x81377,Western Sahara,3435 Dean Mountain Suite 296,Thomasmouth,Wisconsin,93693,Western Sahara,PROD-00206,Mini Board Game,Jewelry,SKU-00206-566,Blue,2,437.14,874.28,0,131.14,14.99,1020.41
SHP-63533-4637,#63533,2025-07-26T14:41:13Z,pending,apple_pay,USD,CUST-000172,Carrie Mccall,daniellegarcia@example.com,(951)235-5215,Estonia,029 Kathryn Fork,Sarahtown,Florida,38906,Estonia,PROD-00196,Premium Face Cream,Apparel,SKU-00196-826,Small,1,227.41,227.41,45.48,32.75,0,214.68
SHP-63534-4678,#63534,2025-03-09T17:25:32Z,fulfilled,apple_pay,USD,CUST-000055,Jesus Johnson,rose31@example.net,446.812.0047x113,Korea,00940 Robert Knoll Suite 376,West Natasha,Missouri,91533,Korea,PROD-00107,Classic Desk Lamp,Grocery,SKU-00107-524,XL,1,253.49,253.49,0,12.67,5.99,272.15
SHP-63535-3273,#63535,2025-06-30T06:10:56Z,pending,google_pay,USD,CUST-000203,Tara Williams,andreagray@example.org,377-997-1775,Samoa,54920 Robert Rapid,North Caitlin,VT,35684,Samoa,PROD-00215,Premium Backpack,Jewelry,SKU-00215-340,Red,2,170.97,341.94,17.1,38.98,9.99,373.81
SHP-63536-5720,#63536,2025-08-21T17:24:12Z,partially_fulfilled,apple_pay,USD,CUST-001261,Jonathan Jordan,smithpaul@example.com,386-482-4051x66545,China,52731 Karen Ferry,South Lance,KS,64902,China,PROD-00002,Smart Blender,Beauty,SKU-00002-854,Large,4,14.41,57.64,0,10.38,0,68.02
SHP-63537-9782,#63537,2025-09-04T05:57:10Z,fulfilled,cash_on_delivery,USD,CUST-000250,David Rose,anthonyalvarado@example.com,878.648.7282x9979,United States of America,9001 Martinez Ridge Apt. 359,Shaneport,GA,75894,United States of America,PROD-00013,Premium Face Cream,Apparel,SKU-00013-891,Red,1,321.28,321.28,0,16.06,9.99,347.33
SHP-63538-7825,#63538,2025-04-03T11:23:09Z,partially_fulfilled,cash_on_delivery,USD,CUST-001056,Joseph Smith,alexbrooks@example.net,(885)519-5377x4926,Cayman Islands,596 Buck Orchard,Roblesland,Kansas,78505,Cayman Islands,PROD-00148,Ultra Board Game,Grocery,SKU-00148-444,Standard,1,76.07,76.07,11.41,9.7,3.99,78.35
SHP-63539-8702,#63539,2024-09-26T02:28:46Z,fulfilled,cash_on_delivery,USD,CUST-001369,Pamela Brandt,joanne77@example.com,796-819-9716,Guernsey,62473 Nguyen Canyon,East Cassie,OK,05473,Guernsey,PROD-00022,Comfort Desk Lamp,Toys,SKU-00022-246,Red,1,183.5,183.5,0,0,9.99,193.49
